smsa_name_clean,smsa_name,line_number,year,page_numbers
"OKLAHOMA CITY, OKLA","OKLAHOMA CITY, OKLA. | OKLAHOMA CITY, OKLA. . . . . . . . . .",49,1967,pages_17_18.json
"OMAHA, NEBR-IOWA","OMAHA, NEBR.-IOWA | OMAHA, NEBR.-IOWA. | OMAHA, NEBR.-IOWA. . . . . . . . . .",52,1967,pages_17_18.json
"ORLANDO, FLA","ORLANDO, FLA. | ORLANDO, FLA.. | ORLANDO, FLA.. . . . . . . . . . . .",55,1967,pages_17_18.json
"OWENSBORO, KENTUCKY","OWENSBORO, KENTUCKY",25,1971,pages_21_22.json
"OWENSBORO, KY","OWENSBORO, KY. | OWENSBORO, KY. . . . . . . . . . . .",31,1972,pages_19_20.json
"OXNARD-SIMI VALLEY- VENTURA, CALIF","OXNARD-SIMI VALLEY-
VENTURA, CALIF.",28,1971,pages_21_22.json
"OXNARD-SIMI VALLEY-VENTURA, CALIF","OXNARD-SIMI VALLEY-VENTURA, CALIF.. | OXNARD-SIMI VALLEY-VENTURA, CALIF. | OXNARD-SIMI VALLEY-VENTURA, CALIF.. . . . . . . . . . . . . . . . .",34,1972,pages_19_20.json
"OXNARD-VENTURA, CALIF","OXNARD-VENTURA, CALIF.",1,1967,pages_19_20.json
"PANAMA CITY, FLA","PANAMA CITY, FLA. | PANAMA CITY, FLA.. . . . . . . . . .",22,1977,pages_21_22.json
PARKERSBURG-MARIETTA WV OHIO,PARKERSBURG-MARIETTA W.V. OHIO,40,1972,pages_19_20.json
PARKERSBURG-MARIETTA WV-OH,PARKERSBURG-MARIETTA WV-OH | PARKERSBURG-MARIETTA WV-OH . . . . .,46,1973,pages_19_20.json
"PARKERSBURG-MARIETTA, WVA-OHIO","PARKERSBURG-MARIETTA,
W.VA.-OHIO",34,1971,pages_21_22.json
"PASCAGOULA-MOSS POINT, MISS","PASCAGOULA-MOSS POINT, MISS. | PASCAGOULA-MOSS POINT, MISS. . . . .",18,1975,pages_21_22.json
"PATERSON-CLIFTON-PASSAIC, NJ","PATERSON-CLIFTON-PASSAIC, N.J. | PATERSON-CLIFTON-PASSAIC, N.J. . . .",6,1967,pages_19_20.json
"PENSACOLA, FLA","PENSACOLA, FLA. | PENSACOLA, FLA.. | PENSACOLA, FLA.. . . . . . . . . . .",12,1967,pages_19_20.json
"PEORIA, ILL","PEORIA, ILL. | PEORIA, ILL.. | PEORIA, ILL. . . . . . . . . . . . .",15,1967,pages_19_20.json
"PETERSBURG-COL HTS-HOPEWELL, VA","PETERSBURG-COL HTS-HOPEWELL, VA.",57,1972,pages_19_20.json
"PETERSBURG-COLONIAL HEIGHTS-HOPEWELL,","PETERSBURG-COLONIAL HEIGHTS-HOPEWELL,",1,1979,pages_23_24.json
"PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA","PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA. | PETERSBURG-COLONIAL HEIGHTS- HOPEWELL, VA.",63,1973,pages_19_20.json
"PETERSBURG-COLONIAL HGTS- HOPEWELL, VA","PETERSBURG-COLONIAL HGTS.-
HOPEWELL, VA.",51,1971,pages_21_22.json
"PHILADELPHIA, PA-NJ","PHILADELPHIA, PA.-N.J.",18,1967,pages_19_20.json
"PHOENIX, ARIZ","PHOENIX, ARIZ.",21,1967,pages_19_20.json
"PINE BLUFF, ARK","PINE BLUFF, ARK.",24,1967,pages_19_20.json
"PITTSBURGH, PA","PITTSBURGH, PA. | PITTSBURGH, PA..",27,1967,pages_19_20.json
"PITTSFIELD, MASS","PITTSFIELD, MASS. | PITTSFIELD, MASS..",30,1967,pages_19_20.json
"PORTLAND, MAINE","PORTLAND, MAINE | PORTLAND, MAINE.",33,1967,pages_19_20.json
"PORTLAND, OREG-WASH","PORTLAND, OREG.-WASH. | PORTLAND, OREG.-WASH..",36,1967,pages_19_20.json
"POUGHKEEPSIE, NY","POUGHKEEPSIE, N.Y.",19,1971,pages_23_24.json
"PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS","PROVIDENCE-PAWTUCKET-WARWICK, R.I.-MASS.",39,1967,pages_19_20.json
"PROVIDENCE-WARWICK-PAWTUCKET, RI-MASS","PROVIDENCE-WARWICK-PAWTUCKET, R.I.-MASS.",19,1972,pages_21_22.json
PROVIDENCE-WARWICK-PAWTUCKET-RI-MASS,PROVIDENCE-WARWICK-PAWTUCKET-R.I.-MASS.,22,1971,pages_23_24.json
"PROVO-OREM, UTAH","PROVO-OREM, UTAH | PROVO-OREM, UTAH.",45,1967,pages_19_20.json
"PUEBLO, COLO","PUEBLO, COLO. | PUEBLO, COLO..",50,1967,pages_19_20.json
"RACINE, WIS","RACINE, WIS.",53,1967,pages_19_20.json
"RALEIGH, NC","RALEIGH, N.C.",56,1967,pages_19_20.json
"RALEIGH-DURHAM, NC","RALEIGH-DURHAM, N.C.",42,1973,pages_21_22.json
"RAPID CITY, SDAK","RAPID CITY, S.DAK.",44,1978,pages_23_24.json
"READING, PA","READING, PA.",1,1967,pages_21_22.json
"RENO, NEV","RENO, NEV.",4,1967,pages_21_22.json
"RICHLAND-KENNEWICK, WASH","RICHLAND-KENNEWICK, WASH.",48,1971,pages_23_24.json
"RICHLAND-KENNEWICK-PASCO, WASH","RICHLAND-KENNEWICK-PASCO, WASH.",53,1978,pages_23_24.json
"RICHMOND, VA","RICHMOND, VA. | RICHMOND, VA.3 | RICHMOND, VA..",7,1967,pages_21_22.json
"RIVERSIDE-SAN BERNADINO-ONTARIO, CALIF","RIVERSIDE-SAN BERNADINO-ONTARIO, CALIF.",1,1971,pages_25_26.json
RIVERSIDE-SAN BERNARDINO-,RIVERSIDE-SAN BERNARDINO-,37,1976,pages_23_24.json
"RIVERSIDE-SAN BERNARDINO-ONTARIO,","RIVERSIDE-SAN BERNARDINO-ONTARIO,",4,1979,pages_25_26.json
"RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF","RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF. | RIVERSIDE-SAN BERNARDINO- ONTARIO, CALIF.",53,1972,pages_21_22.json
"ROANOKE, VA","ROANOKE, VA.",10,1967,pages_21_22.json
"ROCHESTER, MINN","ROCHESTER, MINN.",10,1971,pages_25_26.json
"ROCHESTER, NY","ROCHESTER, N.Y. | ROCHESTER, N.Y.3 | ROCHESTER, N.Y..",13,1967,pages_21_22.json
"ROCKFORD, ILL","ROCKFORD, ILL.",16,1967,pages_21_22.json
"SACRAMENTO, CALIF","SACRAMENTO, CALIF. | SACRAMENTO, CALIF.3",19,1967,pages_21_22.json
"SAGINAW, MICH","SAGINAW, MICH.",22,1967,pages_21_22.json
"SALEM, OREG","SALEM, OREG.",31,1967,pages_21_22.json
"SALINAS-MONTEREY, CALIF","SALINAS-MONTEREY, CALIF.",34,1967,pages_21_22.json
"SALINAS-SEASIDE-MONTEREY, CALIF","SALINAS-SEASIDE-MONTEREY, CALIF.",34,1971,pages_25_26.json
"SALT LAKE CITY, UTAH","SALT LAKE CITY, UTAH | SALT LAKE CITY, UTAH3",39,1967,pages_21_22.json
"SALT LAKE CITY-OGDEN, UTAH","SALT LAKE CITY-OGDEN, UTAH",37,1973,pages_23_24.json
"SAN ANGELO, TEX","SAN ANGELO, TEX.",42,1967,pages_21_22.json
"SAN ANTONIO, TEX","SAN ANTONIO, TEX. | SAN ANTONIO, TEX.3 | SAN ANTONIO, TEX..",45,1967,pages_21_22.json
"SAN BERNARDINO-RIVERSIDE-ONTARIO, CALIF","SAN BERNARDINO-RIVERSIDE- ONTARIO, CALIF. | SAN BERNARDINO-RIVERSIDE-ONTARIO, CALIF.3 | SAN BERNARDINO-RIVERSIDE-ONTARIO, CALIF.",48,1967,pages_21_22.json
"SAN DIEGO, CALIF","SAN DIEGO, CALIF. | SAN DIEGO, CALIF.3 | SAN DIEGO, CALIF..",54,1967,pages_21_22.json
"SAN FRANCISCO, CALIF","SAN FRANCISCO, CALIF.",1,1967,pages_23_24.json
SAN FRANCISCO-OAKLAND CALIF,SAN FRANCISCO-OAKLAND CALIF.,52,1971,pages_25_26.json
"SAN FRANCISCO-OAKLAND, CALIF","SAN FRANCISCO-OAKLAND, CALIF. | SAN FRANCISCO-OAKLAND, CALIF..",1,1968,pages_23_24.json
"SAN JOSE, CALIF","SAN JOSE, CALIF.",6,1967,pages_23_24.json
"SANTA BARBARA, CALIF","SANTA BARBARA, CALIF.",9,1967,pages_23_24.json
"SANTA BARBARA-SANTA MARIA-LOMPOC,","SANTA BARBARA-SANTA MARIA-LOMPOC,",1,1979,pages_27_28.json
"SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF","SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF. | SANTA BARBARA-SANTA MARIA- LOMPOC, CALIF..",1,1971,pages_27_28.json
"SANTA CRUZ, CALIF","SANTA CRUZ, CALIF. | SANTA CRUZ, CALIF. . . . .",7,1971,pages_27_28.json
"SANTA ROSA, CALIF","SANTA ROSA, CALIF. | SANTA ROSA, CALIF. . . . .",10,1971,pages_27_28.json
"SARASOTA, FLA","SARASOTA, FLA. | SARASOTA, FLA. . . . . . .",13,1971,pages_27_28.json
"SAVANNAH, GA","SAVANNAH, GA. | SAVANNAH, GA . . . . . . .",12,1967,pages_23_24.json
"SCRANTON, PA","SCRANTON, PA.",15,1967,pages_23_24.json
"SEATTLE-EVERETT, WASH","SEATTLE-EVERETT, WASH. | SEATTLE-EVERETT, WASH. . .",18,1967,pages_23_24.json
"SHERMAN-DENISON, TEX","SHERMAN-DENISON, TEX. | SHERMAN-DENISON, TEX.. | SHERMAN-DENISON, TEX . . .",23,1967,pages_23_24.json
"SHREVEPORT, LA","SHREVEPORT, LA. | SHREVEPORT, LA.. | SHREVEPORT, LA . . . . . .",28,1967,pages_23_24.json
"SIOUX CITY, IOWA-NEBR","SIOUX CITY, IOWA-NEBR. | SIOUX CITY, IOWA-NEBR. . .",31,1967,pages_23_24.json
"SIOUX FALLS, SDAK","SIOUX FALLS, S.DAK. | SIOUX FALLS, S.DAK.. | SIOUX FALLS, S.DAK . . . .",34,1967,pages_23_24.json
"SOUTH BEND, IND","SOUTH BEND, IND. | SOUTH BEND, IND. . . . . .",37,1967,pages_23_24.json
"SPARTANBURG, SC","SPARTANBURG, S.C.",44,1971,pages_27_28.json
"SPOKANE, WASH","SPOKANE, WASH. | SPOKANE, WASH. . . . . . .",40,1967,pages_23_24.json
"SPRINGFIELD, ILL","SPRINGFIELD, ILL. | SPRINGFIELD, ILL.. | SPRINGFIELD, ILL . . . . .",43,1967,pages_23_24.json
"SPRINGFIELD, MO","SPRINGFIELD, MO. | SPRINGFIELD, MO. . . . . .",46,1967,pages_23_24.json
"SPRINGFIELD, OHIO","SPRINGFIELD, OHIO | SPRINGFIELD, OHIO. | SPRINGFIELD, OHIO. . . . .",49,1967,pages_23_24.json
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS CONN","SPRINGFIELD-CHICOPEE-HOLYOKE, MASS. CONN.",57,1970,pages_05_06.json
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS-CONN","SPRINGFIELD-CHICOPEE-HOLYOKE, MASS.-CONN.",52,1967,pages_23_24.json
"ST CLOUD, MINN","ST. CLOUD, MINN.",19,1973,pages_23_24.json
"ST JOSEPH, MO","ST. JOSEPH, MO. | ST. JOSEPH, MO..",25,1967,pages_21_22.json
"ST LOUIS, MO-ILL","ST. LOUIS, MO.-ILL. | ST. LOUIS, MO.-ILL.3 | ST. LOUIS, MO.-ILL..",28,1967,pages_21_22.json
"STAMFORD, CONN","STAMFORD, CONN. | STAMFORD, CONN.. | STAMFORD, CONN . . . . . .",1,1967,pages_25_26.json
STEUBENVILLE-WEIRTON OH-WV,STEUBENVILLE-WEIRTON OH-WV,50,1972,pages_25_26.json
"STEUBENVILLE-WEIRTON, OHIO-WVA","STEUBENVILLE-WEIRTON, OHIO-W.VA.",4,1967,pages_25_26.json
"STOCKTON, CALIF","STOCKTON, CALIF.",9,1967,pages_25_26.json
"SYRACUSE, NY","SYRACUSE, N.Y.",12,1967,pages_25_26.json
"TACOMA, WASH","TACOMA, WASH. | TACOMA, WASH..",15,1967,pages_25_26.json
"TALLAHASSEE, FLA","TALLAHASSEE, FLA. | TALLAHASSEE, FLA..",18,1967,pages_25_26.json
"TAMPA-ST PETERSBURG, FLA","TAMPA-ST. PETERSBURG, FLA.",21,1967,pages_25_26.json
"TERRE HAUTE, IND","TERRE HAUTE, IND. | TERRE HAUTE, IND..",26,1967,pages_25_26.json
"TEXARKANA, TEX-ARK","TEXARKANA, TEX.-ARK.",29,1967,pages_25_26.json
"TEXARKANA, TX-TEXARKANA, AR","TEXARKANA, TX-TEXARKANA, AR.",12,1973,pages_27_28.json
"TOLEDO, OHIO-MICH","TOLEDO, OHIO-MICH.",34,1967,pages_25_26.json
"TOPEKA, KANS","TOPEKA, KANS.",37,1967,pages_25_26.json
"TRENTON, NJ","TRENTON, N.J.",40,1967,pages_25_26.json
"TUCSON, ARIZ","TUCSON, ARIZ.",43,1967,pages_25_26.json
"TULSA, OKLA","TULSA, OKLA.",46,1967,pages_25_26.json
"TUSCALOOSA, ALA","TUSCALOOSA, ALA.",49,1967,pages_25_26.json
"TYLER, TEX","TYLER, TEX. | TYLER, TEX..",52,1967,pages_25_26.json
"UTICA-ROME, NY","UTICA-ROME, N.Y.",1,1967,pages_27_28.json
"VALLEJO-FAIRFIELD-NAPA, CALIF","VALLEJO-FAIRFIELD-NAPA, CALIF.",9,1971,pages_31_32.json
"VALLEJO-NAPA, CALIF","VALLEJO-NAPA, CALIF.",6,1967,pages_27_28.json
"VINELAND-MILLV-BRIDGETON, NJ","VINELAND-MILLV.-BRIDGETON, N.J.",46,1972,pages_27_28.json
"VINELAND-MILLVILLE-BRIDGETON,","VINELAND-MILLVILLE-BRIDGETON,",49,1978,pages_29_30.json
"VINELAND-MILLVILLE-BRIDGETON, NJ","VINELAND-MILLVILLE-BRIDGETON, N.J. | VINELAND-MILLVILLE-BRIDGETON, N.J... | VINELAND-MILLVILLE-BRIDGETON, N.J..",6,1968,pages_27_28.json
"WACO, TEX","WACO, TEX.",11,1967,pages_27_28.json
"WASHINGTON, DC-MD-VA","WASHINGTON, D.C.-MD.-VA.",14,1967,pages_27_28.json
"WATERBURY, CONN","WATERBURY, CONN.",17,1967,pages_27_28.json
"WATERLOO, IOWA","WATERLOO, IOWA",20,1967,pages_27_28.json
"WATERLOO-CEDAR FALLS, IOWA","WATERLOO-CEDAR FALLS, IOWA",64,1973,pages_27_28.json
"WEST PALM BEACH, FLA","WEST PALM BEACH, FLA.",23,1967,pages_27_28.json
"WEST PALM BEACH-BOCA RATON, FLA","WEST PALM BEACH-BOCA RATON, FLA.",1,1973,pages_29_30.json
"WHEELING, W VA-OHIO","WHEELING, W. VA.-OHIO",1,1972,pages_29_30.json
"WHEELING, WVA-OHIO","WHEELING, W.VA.-OHIO | WHEELING, W.VA.-OHIO.",26,1967,pages_27_28.json
"WICHITA FALLS, TEX","WICHITA FALLS, TEX. | WICHITA FALLS, TEX..",32,1967,pages_27_28.json
"WICHITA, KANS","WICHITA, KANS.",29,1967,pages_27_28.json
"WILKES-BARRE-HAZELTON, PA","WILKES-BARRE-HAZELTON, PA.",45,1971,pages_31_32.json
"WILKES-BARRE-HAZLETON, PA","WILKES-BARRE-HAZLETON, PA.",35,1967,pages_27_28.json
"WILLIAMSPORT, PA","WILLIAMSPORT, PA. | WILLIAMSPORT, PA..",50,1971,pages_31_32.json
"WILMINGTON, DEL-NJ-MD","WILMINGTON, DEL.-N.J.-MD. | WILMINGTON, DEL.-N.J.-MD..",40,1967,pages_27_28.json
"WILMINGTON, NC","WILMINGTON, N.C.",43,1967,pages_27_28.json
"WORCESTER, MASS","WORCESTER, MASS.",46,1967,pages_27_28.json
"YAKIMA, WASH","YAKIMA, WASH. | YAKIMA, WASH..",4,1971,pages_33_34.json
"YORK, PA","YORK, PA. | YORK, PA..",49,1967,pages_27_28.json
"YOUNGSTOWN-WARREN, OHIO","YOUNGSTOWN-WARREN, OHIO | YOUNGSTOWN-WARREN, OHIO.",52,1967,pages_27_28.json
