smsa_name_clean,smsa_name,line_number,year,page_numbers
"BATTLE CREEK, MICH","BATTLE CREEK, MICH.",22,1971,pages_03_04.json
"BAY CITY, MICH","BAY CITY, MICH.",13,1967,pages_03_04.json
"BEAUMONT-PORT ARTHUR-ORANGE,","BEAUMONT-PORT ARTHUR-ORANGE,",28,1977,pages_03_04.json
"BEAUMONT-PORT ARTHUR-ORANGE, TEX","BEAUMONT-PORT ARTHUR-ORANGE, TEX.",16,1967,pages_03_04.json
"BILLINGS, MONT","BILLINGS, MONT.",22,1967,pages_03_04.json
"BILOXI-GULFPORT, MISS","BILOXI-GULFPORT, MISS.",22,1968,pages_03_04.json
"BINGHAMTON, NY-PA","BINGHAMTON, N.Y.-PA.",25,1967,pages_03_04.json
"BIRMINGHAM, ALA","BIRMINGHAM, ALA.",28,1967,pages_03_04.json
"BISMARCK, ND","BISMARCK, N.D.",48,1979,pages_03_04.json
"BLOOMINGTON, IND","BLOOMINGTON, IND.. | BLOOMINGTON, IND.",48,1975,pages_03_04.json
"BLOOMINGTON-NORMAL, ILL","BLOOMINGTON-NORMAL, ILL.",31,1967,pages_03_04.json
"BOISE CITY, IDAHO","BOISE CITY, IDAHO | BOISE CITY, IDAHO.",36,1967,pages_03_04.json
"BOSTON, MASS","BOSTON, MASS. | BOSTON, MASS..",39,1967,pages_03_04.json
"BRADENTON, FLA","BRADENTON, FLA.. | BRADENTON, FLA.",62,1977,pages_03_04.json
"BRIDGEPORT, CONN","BRIDGEPORT, CONN. | BRIDGEPORT, CONN..",42,1967,pages_03_04.json
"BRISTOL, CONN","BRISTOL, CONN.",4,1971,pages_05_06.json
"BROCKTON, MASS","BROCKTON, MASS. | BROCKTON, MASS..",45,1967,pages_03_04.json
BROWNSVILLE-HARLINGEN-,BROWNSVILLE-HARLINGEN-,10,1979,pages_05_06.json
"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX","BROWNSVILLE-HARLINGEN-SAN BENITO, TEX. | BROWNSVILLE-HARLINGEN-SAN BENITO, TEX..",48,1967,pages_03_04.json
"BRYAN-COLLEGE STATION, TEX","BRYAN-COLLEGE STATION, TEX. | BRYAN-COLLEGE STATION, TEX..",16,1971,pages_05_06.json
"BUFFALO, NY","BUFFALO, N.Y. | BUFFALO, N.Y..",54,1967,pages_03_04.json
"BURLINGTON, NC","BURLINGTON, N.C.",18,1973,pages_05_06.json
"CANTON, OHIO","CANTON, OHIO",57,1967,pages_03_04.json
"CEDAR RAPIDS, IOWA","CEDAR RAPIDS, IOWA",1,1967,pages_05_06.json
"CHAMPAIGN-URBANA, ILL","CHAMPAIGN-URBANA, ILL.",4,1967,pages_05_06.json
"CHAMPAIGN-URBANA-RANTOUL, ILL","CHAMPAIGN-URBANA-RANTOUL, ILL.",27,1973,pages_05_06.json
"CHARLESTON, SC","CHARLESTON, S.C.",9,1967,pages_05_06.json
"CHARLESTON, WVA","CHARLESTON, W.VA. | CHARLESTON, W.VA..",12,1967,pages_05_06.json
"CHARLESTON-NORTH CHARLESTON,","CHARLESTON-NORTH CHARLESTON,",39,1979,pages_05_06.json
"CHARLESTON-NORTH CHARLESTON, SC","CHARLESTON-NORTH CHARLESTON, S.C. | CHARLESTON-NORTH CHARLESTON, S.C..",36,1975,pages_05_06.json
"CHARLOTTE, NC","CHARLOTTE, N.C.",15,1967,pages_05_06.json
"CHARLOTTE-GASTONIA, NC","CHARLOTTE-GASTONIA, N.C.",39,1973,pages_05_06.json
"CHATTANOOGA, TENN-GA","CHATTANOOGA, TENN.-GA.",18,1967,pages_05_06.json
"CHICAGO, ILL","CHICAGO, ILL. | CHICAGO, ILL..",21,1967,pages_05_06.json
"CINCINNATI, OHIO-KY-IND","CINCINNATI, OHIO-KY.-IND. | CINCINNATI, OHIO-KY.-IND..",24,1967,pages_05_06.json
CLARKSVILLE-HOPKINSVILLE,CLARKSVILLE-HOPKINSVILLE,61,1979,pages_05_06.json
