smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"NEW ORLEANS, LA",1973,11445,11301,4284,662,432,5923,144,130,189490,187198,111665,10137,4841,60556,2292,LA,LA,Inf,-Inf,0
"NEWPORT NEWS-HAMPTON, VA",1973,7974,7974,3688,60,811,3415,0,340,133724,133724,84823,1309,9865,37727,0,VA,VA,1973,0,1
"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC",1973,11840,11840,4656,424,183,6577,0,620,256256,256256,125947,6933,1253,122124,0,VA-NC,VA,1971,2,1
"NORTHEAST PENNSYLVANIA, PA",1973,3022,2873,2429,12,232,200,149,23,60911,57697,51511,110,3784,2292,3214,PA,PA,Inf,-Inf,0
"NORWALK, CONN",1973,638,638,314,98,7,219,0,19,20271,20271,14608,1703,43,3917,0,CT,CT,1973,0,1
"ODESSA, TEX",1973,349,349,151,0,0,198,0,4,5740,5740,4505,0,0,1235,0,TX,TX,Inf,-Inf,0
"OKLAHOMA CITY, OKLA",1973,5933,5933,3735,170,216,1812,0,76,117996,117996,98543,3234,1401,14819,0,OK,OK,Inf,-Inf,0
"OMAHA, NEBR-IOWA",1973,5207,5207,2946,138,19,2104,0,87,58073,58073,39225,1885,218,16746,0,NE-IA,NE,Inf,-Inf,0
"ORLANDO, FLA",1973,20336,20336,5828,284,465,13759,0,890,300205,300205,131443,2987,5304,160471,0,FL,FL,Inf,-Inf,0
"OWENSBORO, KY",1973,699,699,499,8,4,188,0,16,11038,11038,9564,104,20,1351,0,KY,KY,Inf,-Inf,0
"OXNARD-SIMI VALLEY- VENTURA, CALIF",1973,5596,5596,2565,254,524,2253,0,162,120404,120404,72891,4170,9258,34085,0,CA,CA,1970,3,1
"PARKERSBURG-MARIETTA, WVA-OHIO",1973,610,610,248,14,58,290,0,33,10249,10249,6283,153,561,3252,0,WV-OH,WV,Inf,-Inf,0
"PATERSON-CLIFTON-PASSAIC, NJ",1973,1528,1528,562,98,8,860,0,20,30415,30415,16288,1709,96,12322,0,NJ,NJ,1989,-16,0
"PENSACOLA, FLA",1973,3176,3176,2005,70,21,1080,0,97,65137,65137,46670,1331,177,16960,0,FL,FL,Inf,-Inf,0
"PEORIA, ILL",1973,2423,2423,1563,116,61,683,0,37,54065,54065,42559,2121,883,8502,0,IL,IL,Inf,-Inf,0
"PETERSBURG-COLONIAL HEIGHTS-HOPEWELL, VA",1973,999,999,737,48,16,198,0,12,16745,16745,14242,408,195,1900,0,VA,VA,1973,0,1
"PHILADELPHIA, PA-NJ",1973,30981,30981,17038,758,326,12859,0,505,536962,536962,370584,10122,4167,152089,0,PA-NJ,PA,1989,-16,0
"PHOENIX, ARIZ",1973,30906,30826,19099,808,1423,9496,80,341,461185,459178,319618,11404,16986,111170,2007,AZ,AZ,Inf,-Inf,0
"PINE BLUFF, ARK",1973,276,276,149,0,15,112,0,2,3299,3299,2232,0,138,929,0,AR,AR,Inf,-Inf,0
"PITTSBURGH, PA",1973,9574,9574,5554,206,119,3695,0,168,173239,173239,127353,2287,1460,42139,0,PA,PA,Inf,-Inf,0
"PITTSFIELD, MASS",1973,547,547,233,52,28,234,0,21,9886,9886,6388,1324,174,2000,0,MA,MA,1977,-4,0
"PORTLAND, MAINE",1973,1000,960,672,26,60,202,40,13,19321,18189,15397,389,845,1558,1132,MN,MN,1973,0,1
"PORTLAND, OREG-WASH",1973,13591,13591,7612,888,931,4160,0,309,246146,246146,181867,11105,11769,41404,0,OR-WA,OR,1971,2,1
"POUGHKEEPSIE, NY",1973,3286,3286,1348,12,18,1908,0,136,58508,58508,33988,150,72,24297,0,NY,NY,1975,-2,0
"PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS",1973,6427,6387,3252,178,113,2844,40,164,95967,94864,66586,1924,989,25364,1103,RI-MA,RI,1977,-4,0
"PROVO-OREM, UTAH",1973,1920,1920,1237,162,203,318,0,30,33822,33822,26348,1744,2211,3518,0,UT,UT,Inf,-Inf,0
"PUEBLO, COLO",1973,905,905,603,26,71,205,0,11,13251,13251,10668,243,746,1594,0,CO,CO,Inf,-Inf,0
"RACINE, WIS",1973,836,836,362,26,8,440,0,19,14226,14226,9101,464,91,4570,0,WI,WI,1972,1,1
"RALEIGH-DURHAM, NC",1973,7932,7843,3943,132,356,3412,89,284,126634,125059,91298,1497,3826,28438,1574,NC,NC,1971,2,1
"READING, PA",1973,1860,1860,1145,24,16,675,0,43,35876,35876,28375,288,280,6933,0,PA,PA,Inf,-Inf,0
"RENO, NEV",1973,3313,3313,1641,156,129,1387,0,126,71469,71469,51187,3146,3272,13865,0,NV,NV,Inf,-Inf,0
"RICHLAND-KENNEWICK-PASCO, WASH",1973,998,998,446,24,142,386,0,34,18257,18257,12629,315,1134,4179,0,WA,WA,1971,2,1
"RICHMOND, VA",1973,8428,8428,4345,6,399,3678,0,450,120231,120231,84398,79,4209,31545,0,VA,VA,1973,0,1
"RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF",1973,15606,15506,10083,554,1379,3490,100,303,313441,311284,231150,10701,24580,44852,2158,CA,CA,1970,3,1
"ROANOKE, VA",1973,2443,2443,1464,94,45,840,0,46,34735,34735,27284,949,306,6197,0,VA,VA,1973,0,1
"ROCHESTER, MINN",1973,1005,1005,441,0,114,450,0,18,20608,20608,13273,0,1980,5355,0,MN,MN,1973,0,1
"ROCHESTER, NY",1973,7435,7435,3612,230,454,3139,0,221,145706,145706,87271,3309,5510,49617,0,NY,NY,1975,-2,0
"ROCKFORD, ILL",1973,2086,2086,1239,48,41,758,0,32,36285,36285,25792,770,491,9232,0,IL,IL,Inf,-Inf,0
"SACRAMENTO, CALIF",1973,12805,12805,6011,576,594,5624,0,443,197994,197994,127474,8367,8246,53907,0,CA,CA,1970,3,1
"SAGINAW, MICH",1973,2157,2157,1052,44,25,1036,0,128,37792,37792,25433,514,373,11473,0,MI,MI,Inf,-Inf,0
"ST CLOUD, MINN",1973,1363,1363,762,26,8,567,0,24,26978,26978,19411,412,80,7075,0,MN,MN,1973,0,1
"ST JOSEPH, MO",1973,276,276,264,12,0,0,0,0,5284,5284,5124,160,0,0,0,MO,MO,Inf,-Inf,0
"ST LOUIS, MO-ILL",1973,12883,12883,8100,156,499,4128,0,297,239705,239705,186213,2313,7207,43973,0,MO-IL,MO,Inf,-Inf,0
"SALEM, OREG",1973,2360,2360,1736,206,73,345,0,30,42402,42402,34409,2655,1200,4138,0,OR,OR,Inf,-Inf,0
"SALINAS-SEASIDE-MONTEREY, CALIF",1973,2744,2744,1423,26,101,1194,0,153,63845,63845,42360,546,2550,18389,0,CA,CA,1970,3,1
"SALT LAKE CITY-OGDEN, UTAH",1973,9805,9805,4973,342,513,3977,0,174,165261,165261,110484,5458,6664,42654,0,UT,UT,Inf,-Inf,0
"SAN ANGELO, TEX",1973,736,736,263,12,0,461,0,16,7018,7018,4429,140,0,2449,0,TX,TX,Inf,-Inf,0
"SAN ANTONIO, TEX",1973,13862,13762,4578,84,114,8986,100,143,157546,155778,81998,829,972,71979,1768,TX,TX,Inf,-Inf,0
"SAN DIEGO, CALIF",1973,25042,24642,12556,756,1956,9374,400,886,493859,485323,322596,14676,33458,114593,8536,CA,CA,1970,3,1
"SAN FRANCISCO-OAKLAND, CALIF",1973,27235,27235,11696,892,1082,13565,0,783,688548,688548,369500,20767,22811,275471,0,CA,CA,1970,3,1
"SAN JOSE, CALIF",1973,12893,12893,7400,334,428,4731,0,467,260415,260415,188143,6431,9475,56366,0,CA,CA,1970,3,1
"SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF",1973,3620,3620,1107,108,458,1947,0,183,79983,79983,40280,2781,6617,30305,0,CA,CA,1970,3,1
"SANTA CRUZ, CALIF",1973,2306,2306,1577,78,97,554,0,36,47055,47055,36870,1196,1357,7631,0,CA,CA,1970,3,1
"SANTA ROSA, CALIF",1973,3988,3988,2563,194,452,779,0,75,85119,85119,64809,3291,7231,9787,0,CA,CA,1970,3,1
"SARASOTA, FLA",1973,8614,8614,2574,398,667,4975,0,293,167642,167642,58977,5755,11912,90997,0,FL,FL,Inf,-Inf,0
"SAVANNAH, GA",1973,769,769,651,18,4,96,0,1,17176,17176,16040,143,25,968,0,GA,GA,1991,-18,0
"SEATTLE-EVERETT, WASH",1973,7097,7097,5141,176,167,1613,0,92,194540,194540,152891,3537,2798,35314,0,WA,WA,1971,2,1
"SHERMAN-DENISON, TEX",1973,339,339,183,22,4,130,0,2,5339,5339,4027,267,35,1010,0,TX,TX,Inf,-Inf,0
"SHREVEPORT, LA",1973,2357,2357,1198,0,0,1159,0,10,36837,36837,25979,0,0,10858,0,LA,LA,Inf,-Inf,0
"SIOUX CITY, IOWA-NEBR",1973,358,358,278,8,42,30,0,1,6612,6612,5644,188,624,156,0,IA-NE,IA,Inf,-Inf,0
"SIOUX FALLS, SDAK",1973,1026,1026,381,40,23,582,0,34,12501,12501,6557,530,245,5168,0,SD,SD,1974,-1,0
"SOUTH BEND, IND",1973,3758,3758,818,10,85,2845,0,76,52745,52745,21161,218,3317,28050,0,IN,IN,1972,1,1
"SPOKANE, WASH",1973,2640,2640,1395,212,136,897,0,37,56231,56231,41050,3644,1562,9975,0,WA,WA,1971,2,1
"SPRINGFIELD, ILL",1973,1203,1203,468,68,10,657,0,18,23408,23408,14565,1309,150,7383,0,IL,IL,Inf,-Inf,0
"SPRINGFIELD, MO",1973,2152,2152,1328,80,24,720,0,29,34795,34795,26908,973,244,6669,0,MO,MO,Inf,-Inf,0
"SPRINGFIELD, OHIO",1973,806,806,462,20,36,288,0,10,12602,12602,10153,260,527,1662,0,OH,OH,Inf,-Inf,0
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS-CONN",1973,3054,3054,1770,134,93,1057,0,24,63531,63531,38538,1441,1222,22330,0,MA-CT,MA,1973,0,1
"STAMFORD, CONN",1973,1055,1043,413,82,41,507,12,24,28807,28542,19717,1466,823,6535,265,CT,CT,1973,0,1
"STEUBENVILLE-WEIRTON, OHIO-WVA",1973,372,372,222,8,33,109,0,14,6674,6674,4808,147,430,1289,0,OH-WV,OH,Inf,-Inf,0
"STOCKTON, CALIF",1973,2872,2872,1644,156,205,867,0,47,53218,53218,39400,2696,2814,8308,0,CA,CA,1970,3,1
"SYRACUSE, NY",1973,4991,4991,1785,44,66,3096,0,142,86498,86498,39036,601,931,45930,0,NY,NY,1975,-2,0
"TACOMA, WASH",1973,3898,3898,2075,190,230,1403,0,100,70429,70429,49587,2784,2989,15069,0,WA,WA,1971,2,1
"TALLAHASSEE, FLA",1973,2948,2948,1001,52,7,1888,0,28,50036,50036,31742,535,85,17674,0,FL,FL,Inf,-Inf,0
"TAMPA-ST PETERSBURG, FLA",1973,46670,46670,10619,2586,1202,32263,0,1383,765642,765642,225576,21589,16899,501578,0,FL,FL,Inf,-Inf,0
"TERRE HAUTE, IND",1973,92,92,80,2,0,10,0,2,1736,1736,1606,25,0,105,0,IN,IN,1972,1,1
"TEXARKANA, TEX-ARK",1973,341,341,183,12,0,146,0,10,4245,4245,3290,180,0,775,0,TX-AR,TX,Inf,-Inf,0
"TOLEDO, OHIO-MICH",1973,4110,4110,2457,56,302,1295,0,90,82754,82754,60624,758,5683,15689,0,OH-MI,OH,Inf,-Inf,0
"TOPEKA, KANS",1973,1344,1344,844,34,60,406,0,15,25996,25996,20960,504,933,3599,0,KS,KS,Inf,-Inf,0
"TRENTON, NJ",1973,2284,2284,1248,28,31,977,0,38,53459,53459,39060,556,560,13283,0,NJ,NJ,1989,-16,0
"TUCSON, ARIZ",1973,9092,9012,5458,212,547,2795,80,151,162935,161137,114406,3980,9616,33134,1798,AZ,AZ,Inf,-Inf,0
"TULSA, OKLA",1973,7394,7153,2260,174,12,4707,241,403,104791,99356,46074,2945,200,50137,5435,OK,OK,Inf,-Inf,0
"TUSCALOOSA, ALA",1973,1103,1103,611,8,19,465,0,16,16710,16710,12036,68,167,4440,0,AL,AL,Inf,-Inf,0
"TYLER, TEX",1973,492,492,256,12,0,224,0,2,9968,9968,7757,330,0,1882,0,TX,TX,Inf,-Inf,0
"UTICA-ROME, NY",1973,716,716,481,4,8,223,0,17,10014,10014,8409,31,40,1534,0,NY,NY,1975,-2,0
"VALLEJO-FAIRFIELD-NAPA, CALIF",1973,4417,4417,3122,88,248,959,0,93,92558,92558,76561,1588,3043,11366,0,CA,CA,1970,3,1
"VINELAND-MILLVILLE-BRIDGETON, NJ",1973,801,801,561,40,0,200,0,33,16344,16344,11983,521,0,3840,0,NJ,NJ,1989,-16,0
"WACO, TEX",1973,1054,954,428,82,8,436,100,12,18073,16636,11508,1044,132,3953,1437,TX,TX,Inf,-Inf,0
"WASHINGTON, DC-MD-VA",1973,37362,37362,20883,126,328,16025,0,358,705419,705419,461453,1639,3342,238985,0,DC-MD-VA,DC,1973,0,1
"WATERBURY, CONN",1973,1689,1689,904,22,121,642,0,40,34409,34409,20386,311,1260,12453,0,CT,CT,1973,0,1
"WATERLOO-CEDAR FALLS, IOWA",1973,513,513,245,6,0,262,0,19,8421,8421,5825,78,0,2517,0,IA,IA,Inf,-Inf,0
"WEST PALM BEACH-BOCA RATON, FLA",1973,21189,21189,4744,1172,1276,13997,0,529,427273,427273,115777,16766,15308,279423,0,FL,FL,Inf,-Inf,0
"WHEELING, WVA-OHIO",1973,286,286,179,2,7,98,0,8,4557,4557,3380,38,70,1069,0,WV-OH,WV,Inf,-Inf,0
"WICHITA, KANS",1973,4376,4376,1164,144,72,2996,0,169,82705,82705,33598,3336,2215,43556,0,KS,KS,Inf,-Inf,0
"WICHITA FALLS, TEX",1973,597,597,360,0,0,237,0,10,10938,10938,8168,0,0,2771,0,TX,TX,Inf,-Inf,0
"WILLIAMSPORT, PA",1973,333,333,233,0,0,100,0,1,6499,6499,5499,0,0,1000,0,PA,PA,Inf,-Inf,0
"WILMINGTON, DEL-NJ-MD",1973,6473,6403,2994,134,48,3227,70,261,94783,93380,61004,1938,325,30115,1403,DEL-NJ-MD,DE,1973,0,1
"WILMINGTON, NC",1973,3531,3531,1162,86,606,1677,0,108,48976,48976,24693,943,2601,20738,0,NC,NC,1971,2,1
"WORCESTER, MASS",1973,2586,2586,987,52,12,1535,0,87,36679,36679,22350,645,74,13610,0,MA,MA,1977,-4,0
"YAKIMA, WASH",1973,930,930,540,108,94,188,0,14,16223,16223,11378,1550,1441,1854,0,WA,WA,1971,2,1
"YORK, PA",1973,2302,2302,1606,12,68,616,0,27,45101,45101,38440,111,721,5830,0,PA,PA,Inf,-Inf,0
"YOUNGSTOWN-WARREN, OHIO",1973,3443,3443,2244,100,141,958,0,77,71308,71308,56870,1420,1681,11337,0,OH,OH,Inf,-Inf,0
"ABILENE, TEX",1974,299,299,225,20,0,54,0,2,7749,7749,6757,472,0,520,0,TX,TX,Inf,-Inf,0
"AKRON, OHIO",1974,3126,3126,1710,130,175,1111,0,60,80575,80575,59700,2325,2879,15671,0,OH,OH,Inf,-Inf,0
"ALBANY, GA",1974,473,473,313,28,86,46,0,7,8318,8318,6924,321,673,400,0,GA,GA,1991,-17,0
"ALBANY-SCHENECTADY-TROY, NY",1974,2083,2083,1661,130,8,284,0,21,51496,51496,46069,2249,76,3102,0,NY,NY,1975,-1,0
"ALBUQUERQUE, NMEX",1974,2592,2592,1600,312,52,628,0,33,61064,61064,49118,3577,591,7777,0,NM,NM,Inf,-Inf,0
"ALEXANDRIA, LA",1974,554,554,106,28,23,397,0,40,6267,6267,2572,297,174,3223,0,LA,LA,Inf,-Inf,0
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",1974,3546,3546,2344,36,30,1136,0,62,74099,74099,62261,578,522,10737,0,PA-NJ,PA,1989,-15,0
"ALTOONA, PA",1974,168,168,159,2,0,7,0,1,4181,4181,4118,25,0,38,0,PA,PA,Inf,-Inf,0
"AMARILLO, TEX",1974,1294,1294,612,32,4,646,0,8,29378,29378,22249,1009,120,6000,0,TX,TX,Inf,-Inf,0
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF",1974,17847,17847,10244,520,1430,5653,0,640,443725,443725,320103,12323,24819,86480,0,CA,CA,1970,4,1
"ANCHORAGE, ALASKA",1974,897,897,318,112,105,362,0,37,28145,28145,15340,3611,2500,6694,0,AK,AK,Inf,-Inf,0
"ANDERSON, IND",1974,561,561,454,34,68,5,0,1,14665,14665,13227,430,898,110,0,IN,IN,1972,2,1
"ANN ARBOR, MICH",1974,1878,1878,779,74,4,1021,0,35,39523,39523,24242,1758,50,13474,0,MI,MI,Inf,-Inf,0
"ANNISTON, ALA",1974,149,149,149,0,0,0,0,0,3959,3959,3959,0,0,0,0,AL,AL,Inf,-Inf,0
"APPLETON-OSHKOSH, WIS",1974,1794,1794,949,144,48,653,0,48,33467,33467,25186,2235,550,5496,0,WI,WI,1972,2,1
"ASHEVILLE, NC",1974,262,262,67,2,7,186,0,2,4028,4028,1316,12,40,2660,0,NC,NC,1971,3,1
"ATLANTA, GA",1974,15996,15949,10744,116,59,5030,47,359,355290,354319,290371,1488,1263,61196,971,GA,GA,1991,-17,0
"ATLANTIC CITY, NJ",1974,1036,1036,842,14,8,172,0,9,21161,21161,19622,267,70,1203,0,NJ,NJ,1989,-15,0
"AUGUSTA, GA-SC",1974,2371,2371,1685,2,152,532,0,75,38917,38917,30633,8,1430,6846,0,GA-SC,GA,1991,-17,0
"AUSTIN, TEX",1974,4065,4065,2041,202,38,1784,0,34,88273,88273,60203,4074,871,23125,0,TX,TX,Inf,-Inf,0
"BAKERSFIELD, CALIF",1974,2226,2226,1531,154,195,346,0,32,45329,45329,36873,2471,2899,3085,0,CA,CA,1970,4,1
"BALTIMORE, MD",1974,13149,13149,7635,12,15,5487,0,297,250000,250000,190977,167,370,58486,0,MD,MD,1973,1,1
"BATON ROUGE, LA",1974,2325,2325,1763,24,24,514,0,8,45463,45463,39371,271,233,5587,0,LA,LA,Inf,-Inf,0
"BATTLE CREEK, MICH",1974,505,505,427,6,11,61,0,6,10232,10232,9307,96,67,762,0,MI,MI,Inf,-Inf,0
"BAY CITY, MICH",1974,814,814,445,2,4,363,0,15,14516,14516,9951,28,50,4486,0,MI,MI,Inf,-Inf,0
"BEAUMONT-PORT ARTHUR-ORANGE, TEX",1974,682,682,649,12,4,17,0,3,16828,16828,16528,160,12,128,0,TX,TX,Inf,-Inf,0
"BILLINGS, MONT",1974,713,713,465,84,60,104,0,7,14029,14029,10985,1284,879,881,0,MT,MT,1971,3,1
"BILOXI-GULFPORT, MISS",1974,804,704,668,0,4,32,100,6,18051,15110,14836,0,45,229,2941,MS,MS,Inf,-Inf,0
"BINGHAMTON, NY-PA",1974,734,734,414,58,24,238,0,30,16402,16402,12633,839,270,2660,0,NY-PA,NY,1975,-1,0
"BIRMINGHAM, ALA",1974,4407,4176,2461,88,67,1560,231,119,81771,75916,57946,1776,673,15521,5855,AL,AL,Inf,-Inf,0
"BLOOMINGTON-NORMAL, ILL",1974,798,798,522,22,48,206,0,21,18167,18167,15123,468,551,2025,0,IL,IL,Inf,-Inf,0
"BOISE CITY, IDAHO",1974,2790,2790,2465,130,76,119,0,9,48313,48313,44374,1790,952,1198,0,ID,ID,Inf,-Inf,0
"BOSTON, MASS",1974,9920,9920,2768,398,100,6654,0,297,214967,214967,85892,6019,1424,121632,0,MA,MA,1977,-3,0
"BRIDGEPORT, CONN",1974,1359,1359,815,146,52,346,0,45,29703,29703,23446,2419,732,3107,0,CT,CT,1973,1,1
"BRISTOL, CONN",1974,365,365,322,2,3,38,0,7,8325,8325,7804,32,25,464,0,CT,CT,1973,1,1
"BROCKTON, MASS",1974,584,584,480,0,0,104,0,12,10936,10936,9555,0,0,1381,0,MA,MA,1977,-3,0
"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX",1974,1011,1011,577,2,0,432,0,4,13661,13661,10026,30,0,3605,0,TX,TX,Inf,-Inf,0
"BRYAN-COLLEGE STATION, TEX",1974,1072,1072,245,16,11,800,0,80,11522,11522,5270,166,80,6006,0,TX,TX,Inf,-Inf,0
"BUFFALO, NY",1974,3669,3669,2515,226,88,840,0,79,80891,80891,65410,3169,705,11607,0,NY,NY,1975,-1,0
"BURLINGTON, NC",1974,342,342,323,0,0,19,0,2,8973,8973,8820,0,0,153,0,NC,NC,1971,3,1
"CANTON, OHIO",1974,1699,1699,1261,140,84,214,0,19,42151,42151,34735,2036,1070,4310,0,OH,OH,Inf,-Inf,0
"CEDAR RAPIDS, IOWA",1974,1015,1015,430,4,7,574,0,44,15018,15018,10051,96,66,4806,0,IA,IA,Inf,-Inf,0
"CHAMPAIGN-URBANA-RANTOUL, ILL",1974,638,638,160,112,13,353,0,18,7035,7035,3905,1009,137,1984,0,IL,IL,Inf,-Inf,0
"CHARLESTON-NORTH CHARLESTON, SC",1974,3430,3160,2262,14,6,878,270,62,75838,68466,50753,328,39,17346,7372,SC,SC,Inf,-Inf,0
"CHARLESTON, WVA",1974,266,266,199,4,27,36,0,4,7162,7162,6243,70,389,460,0,WV,WV,Inf,-Inf,0
"CHARLOTTE-GASTONIA, NC",1974,3677,3627,2746,68,108,705,50,61,92777,91791,75587,709,2129,13365,986,NC,NC,1971,3,1
"CHATTANOOGA, TENN-GA",1974,2260,2260,1373,120,11,756,0,18,36241,36241,26102,1231,80,8828,0,TN-GA,TN,1991,-17,0
"CHICAGO, ILL",1974,23209,22612,12225,324,720,9343,597,458,574443,565003,390668,6428,12117,155790,9440,IL,IL,Inf,-Inf,0
"CINCINNATI, OHIO-KY-IND",1974,6094,6094,3986,118,149,1841,0,121,129760,129760,106233,2085,2283,19158,0,OH-KY-IN,OH,1972,2,1
"CLARKSVILLE-HOPKINSVILLE, TENN-KY",1974,722,722,360,8,6,348,0,27,9746,9746,6885,115,86,2661,0,TN-KY,TN,Inf,-Inf,0
"CLEVELAND, OHIO",1974,7119,7119,4146,58,281,2634,0,71,210899,210899,161035,1664,6484,41716,0,OH,OH,Inf,-Inf,0
"COLORADO SPRINGS, COLO",1974,1069,1069,922,12,20,115,0,16,20548,20548,18471,165,211,1701,0,CO,CO,Inf,-Inf,0
"COLUMBIA, MO",1974,165,165,89,42,18,16,0,1,4678,4678,3036,917,605,120,0,MO,MO,Inf,-Inf,0
"COLUMBIA, SC",1974,1505,1505,956,20,59,470,0,57,30333,30333,22305,426,1248,6354,0,SC,SC,Inf,-Inf,0
"COLUMBUS, GA-ALA",1974,619,619,481,4,3,131,0,5,16404,16404,13593,52,39,2720,0,GA-AL,GA,1991,-17,0
"COLUMBUS, OHIO",1974,5637,5637,3018,192,208,2219,0,220,130874,130874,97502,3137,3944,26293,0,OH,OH,Inf,-Inf,0
"CORPUS CHRISTI, TEX",1974,1132,1112,629,78,23,382,20,24,17222,16823,12233,813,214,3563,399,TX,TX,Inf,-Inf,0
"DALLAS-FORT WORTH, TEX",1974,23332,23332,12479,192,134,10527,0,442,423620,423620,319704,3222,1413,99281,0,TX,TX,Inf,-Inf,0
"DANBURY, CONN",1974,1113,1113,697,28,9,379,0,39,27721,27721,21142,407,120,6052,0,CT,CT,1973,1,1
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL",1974,1729,1729,1279,90,50,310,0,32,37425,37425,31945,1176,1033,3271,0,IA-IL,IA,Inf,-Inf,0
"DAYTON, OHIO",1974,4084,4084,3078,136,264,606,0,58,94967,94967,81497,2225,3075,8171,0,OH,OH,Inf,-Inf,0
"DAYTONA BEACH, FLA",1974,2624,2624,1708,22,31,863,0,51,47250,47250,35435,281,442,11092,0,FL,FL,Inf,-Inf,0
"DECATUR, ILL",1974,556,501,477,0,4,20,55,4,18561,16986,16541,0,50,395,1575,IL,IL,Inf,-Inf,0
"DENVER-BOULDER, COLO",1974,12321,11986,7509,308,670,3499,335,276,256245,250187,184222,5132,14283,46551,6058,CO,CO,Inf,-Inf,0
"DES MOINES, IOWA",1974,1512,1512,1047,64,7,394,0,29,37548,37548,31805,1182,95,4466,0,IA,IA,Inf,-Inf,0
"DETROIT, MICH",1974,19231,19231,9737,160,259,9075,0,682,454560,454560,302828,2423,4709,144601,0,MI,MI,Inf,-Inf,0
"DUBUQUE, IOWA",1974,427,427,259,6,24,138,0,4,8604,8604,5998,85,335,2185,0,IA,IA,Inf,-Inf,0
"DULUTH-SUPERIOR, MINN-WIS",1974,888,888,705,4,12,167,0,9,16810,16810,14788,65,115,1842,0,MN-WI,MN,1972,2,1
"ELMIRA, NY",1974,273,273,256,2,0,15,0,1,7245,7245,6955,15,0,275,0,NY,NY,1975,-1,0
"EL PASO, TEX",1974,3989,3989,1736,224,63,1966,0,243,70745,70745,39919,4022,765,26039,0,TX,TX,Inf,-Inf,0
"ERIE, PA",1974,1116,1116,845,32,91,148,0,3,21891,21891,17178,413,1140,3160,0,PA,PA,Inf,-Inf,0
"EUGENE-SPRINGFIELD, OREG",1974,2392,2392,1326,246,55,765,0,25,46015,46015,31614,3919,577,9904,0,OR,OR,Inf,-Inf,0
"EVANSVILLE, IND-KY",1974,1166,1166,731,20,7,408,0,28,19239,19239,16723,156,55,2305,0,IN-KY,IN,1972,2,1
"FALL RIVER, MASS-RI",1974,452,452,337,6,0,109,0,7,8910,8910,7805,60,0,1045,0,MA-RI,MA,1977,-3,0
"FARGO-MOORHEAD, ND-MN",1974,846,846,466,36,56,288,0,15,19659,19659,15068,695,650,3247,0,ND-MN,ND,1973,1,1
"FAYETTEVILLE-SPRINGDALE, ARK",1974,668,668,591,54,15,8,0,1,14312,14312,13358,736,158,60,0,AR,AR,Inf,-Inf,0
"FAYETTEVILLE, NC",1974,500,500,422,2,22,54,0,7,11105,11105,10268,20,257,560,0,NC,NC,1971,3,1
"FITCHBURG-LEOMINSTER, MASS",1974,229,229,203,4,0,22,0,4,4745,4745,4404,55,0,286,0,MA,MA,1977,-3,0
"FLINT, MICH",1974,1949,1949,1449,32,127,341,0,24,41708,41708,36359,431,1672,3245,0,MI,MI,Inf,-Inf,0
"FLORENCE, ALA",1974,424,383,269,54,0,60,41,8,7325,6582,5137,834,0,611,742,AL,AL,Inf,-Inf,0
"FORT LAUDERDALE-HOLLYWOOD, FLA",1974,18870,18870,4204,578,366,13722,0,408,366696,366696,117244,9405,4891,235155,0,FL,FL,Inf,-Inf,0
"FORT MEYERS-CAPE CORAL, FLA",1974,6023,6023,1869,306,139,3709,0,184,122250,122250,40512,3726,3103,74908,0,FL,FL,Inf,-Inf,0
"FORT SMITH, ARK-OKLA",1974,952,952,534,86,43,289,0,20,20248,20248,15215,1298,912,2824,0,AR-OK,AR,Inf,-Inf,0
"FORT WAYNE, IND",1974,1738,1738,1590,26,32,90,0,7,47925,47925,46390,324,326,885,0,IN,IN,1972,2,1
"FRESNO, CALIF",1974,4244,4244,2618,162,425,1039,0,120,66531,66531,50091,1968,4365,10106,0,CA,CA,1970,4,1
"GADSDEN, ALA",1974,65,65,65,0,0,0,0,0,1129,1129,1129,0,0,0,0,AL,AL,Inf,-Inf,0
"GAINESVILLE, FLA",1974,1080,1080,923,10,60,87,0,2,24621,24621,22857,149,694,920,0,FL,FL,Inf,-Inf,0
"GALVESTON-TEXAS CITY, TEX",1974,597,597,263,2,12,320,0,5,10619,10619,7335,19,102,3164,0,TX,TX,Inf,-Inf,0
"GARY-HAMMOND-EAST CHICAGO, IND",1974,3030,3030,1874,196,100,860,0,39,74077,74077,58164,3042,1594,11278,0,IN,IN,1972,2,1
"GRAND RAPIDS, MICH",1974,3560,3560,2209,82,40,1229,0,81,77234,77234,61648,1255,552,13779,0,MI,MI,Inf,-Inf,0
