smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"GADSDEN, ALA",1967,201,201,191,0,0,10,0,1,2478,2478,2438,0,0,40,0,AL,AL,Inf,-Inf,0
"GALVESTON-TEXAS CITY, TEX",1967,942,742,539,20,21,162,200,12,12131,9307,8380,258,57,612,2824,TX,TX,Inf,-Inf,0
"GARY-HAMMOND-EAST CHICAGO, IND",1967,3587,3483,2446,124,91,822,104,44,50604,48867,41105,1333,885,5544,1737,IN,IN,1972,-5,0
"GRAND RAPIDS, MICH",1967,3599,3599,2466,284,70,779,0,50,46978,46978,39245,2652,522,4560,0,MI,MI,Inf,-Inf,0
"GREAT FALLS, MONT",1967,207,207,103,0,4,100,0,6,1913,1913,1312,0,15,586,0,MT,MT,1971,-4,0
"GREEN BAY, WIS",1967,1281,1281,858,140,68,215,0,20,19030,19030,14930,1500,455,2145,0,WI,WI,1972,-5,0
"GREENSBORO-WINSTON-SALEM-HIGH POINT, NC",1967,5783,5681,3317,84,96,2184,102,149,64716,63620,49627,609,584,12800,1096,NC,NC,1971,-4,0
"GREENVILLE, SC",1967,2367,2367,1756,90,69,452,0,13,29779,29779,25772,465,265,3276,0,SC,SC,Inf,-Inf,0
"HAMILTON-MIDDLETOWN, OHIO",1967,1084,1084,693,28,66,297,0,13,16125,16125,13373,298,565,1889,0,OH,OH,Inf,-Inf,0
"HARRISBURG, PA",1967,2427,2426,1203,4,32,1187,1,55,29340,27771,20090,28,497,7156,1569,PA,PA,Inf,-Inf,0
"HARTFORD, CONN",1967,6293,6293,2704,130,63,3396,0,188,72034,72034,45646,1183,513,24693,0,CT,CT,1973,-6,0
"HONOLULU, HAWAII",1967,7069,6204,3004,46,50,3104,865,119,109060,92199,50905,503,747,40044,16861,HI,HI,1974,-7,0
"HOUSTON, TEX",1967,16706,16706,6752,248,173,9533,0,518,186721,186721,120347,1625,1008,63740,0,TX,TX,Inf,-Inf,0
"HUNTINGTON-ASHLAND, WVA-KY-OHIO",1967,487,487,379,6,11,91,0,9,5795,5759,5006,67,86,636,0,WV-KY-OH,WV,Inf,-Inf,0
"HUNTSVILLE, ALA",1967,915,915,859,8,0,48,0,6,11722,11722,11412,46,0,264,0,AL,AL,Inf,-Inf,0
"INDIANAPOLIS, IND",1967,10034,9834,3934,284,46,5570,200,315,113034,109544,64545,2114,265,42621,3490,IN,IN,1972,-5,0
"JACKSON, MICH",1967,972,972,675,16,0,281,0,9,10831,10831,9129,127,0,1575,0,MI,MI,Inf,-Inf,0
"JACKSON, MISS",1967,1439,1439,1015,40,34,350,0,31,16930,16930,14483,208,198,2042,0,MS,MS,Inf,-Inf,0
"JACKSONVILLE, FLA",1967,3005,3005,1299,68,79,1559,0,134,21445,21445,11500,202,278,9465,0,FL,FL,Inf,-Inf,0
"JERSEY CITY, NJ",1967,1399,1203,83,618,40,462,196,21,13224,11345,1317,6272,467,3290,1879,NJ,NJ,1989,-22,0
"JOHNSTOWN, PA",1967,388,388,227,2,16,143,0,5,5758,5758,3958,18,132,1650,0,PA,PA,Inf,-Inf,0
"KALAMAZOO, MICH",1967,1715,1715,788,34,26,867,0,61,24836,24836,16981,347,261,7248,0,MI,MI,Inf,-Inf,0
"KANSAS CITY, MO-KANS",1967,11724,11327,6152,958,66,4151,397,294,147414,142314,96862,9074,584,35794,5100,MO-KS,MO,Inf,-Inf,0
"KENOSHA, WIS",1967,292,292,208,20,0,64,0,2,4103,4103,3463,170,0,470,0,WI,WI,1972,-5,0
"KNOXVILLE, TENN",1967,3598,3598,1830,48,15,1705,0,97,38644,38644,27070,332,63,11179,0,TN,TN,Inf,-Inf,0
"LAFAYETTE-WEST LAFAYETTE, IND",1967,776,776,481,38,23,234,0,14,10880,10880,8792,354,138,1597,0,IN,IN,1972,-5,0
"LAFAYETTE, LA",1967,310,310,281,0,12,17,0,2,5961,5961,5770,0,97,94,0,LA,LA,Inf,-Inf,0
"LAKE CHARLES, LA",1967,432,432,240,14,8,170,0,17,6513,6513,5100,240,45,1128,0,LA,LA,Inf,-Inf,0
"LANCASTER, PA",1967,1533,1432,812,6,90,524,101,38,20309,18967,14886,68,769,3244,1342,PA,PA,Inf,-Inf,0
"LANSING-EAST LANSING, MICH",1967,5062,5062,2326,188,67,2481,0,99,60526,60526,39531,2162,889,17944,0,MI,MI,Inf,-Inf,0
"LAREDO, TEX",1967,166,166,146,0,0,20,0,3,849,849,793,0,0,57,0,TX,TX,Inf,-Inf,0
"LAS VEGAS, NEV",1967,897,897,737,2,37,121,0,10,14857,14857,13146,18,317,1376,0,NV,NV,Inf,-Inf,0
"LAWRENCE-HAVERHILL, MASS-NH",1967,1345,1345,600,22,27,696,0,54,14838,14838,10545,240,178,3875,0,MA-NH,MA,1977,-10,0
