year,page_numbers,line_number,smsa_name,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation
1967,pages_23_24.json,3,OAKLAND,1477,1477,267,18,192,1000,0,35,20114,20114,6904,218,2288,10706,0
1967,pages_23_24.json,4,SAN FRANCISCO,1270,1270,111,76,135,948,0,55,25317,25317,3414,2069,2239,17596,0
1967,pages_23_24.json,5,OUTSIDE CENTRAL CITIES,12853,12727,8284,390,696,3357,126,260,228456,227153,180453,5160,7217,34323,1303
1967,pages_23_24.json,6,"SAN JOSE, CALIF.",10541,10241,7486,518,742,1495,300,112,185714,180745,151991,7214,7772,13769,4969
1967,pages_23_24.json,7,SAN JOSE,6335,6335,4982,198,319,836,0,69,103549,103549,90878,2409,2884,7379,0
1967,pages_23_24.json,8,OUTSIDE CENTRAL CITY,4206,3906,2504,320,423,659,300,43,82165,77196,61113,4805,4888,6390,4969
1967,pages_23_24.json,9,"SANTA BARBARA, CALIF.",1613,1605,646,118,110,731,8,59,26201,25997,16410,1769,1291,6527,204
1967,pages_23_24.json,10,SANTA BARBARA,567,559,80,72,35,372,8,36,7166,6962,1777,1037,423,3725,204
1967,pages_23_24.json,11,OUTSIDE CENTRAL CITY,1046,1046,566,46,75,359,0,23,19035,19035,14633,732,868,2802,0
1967,pages_23_24.json,12,"SAVANNAH, GA.",802,802,666,6,8,122,0,2,7746,7746,6977,23,26,720,0
1967,pages_23_24.json,13,SAVANNAH,129,129,121,4,4,0,0,0,1249,1249,1225,12,12,0,0
1967,pages_23_24.json,14,OUTSIDE CENTRAL CITY,673,673,545,2,4,122,0,2,6497,6497,5752,11,14,720,0
1967,pages_23_24.json,15,"SCRANTON, PA.",517,517,313,2,0,202,0,6,6549,6549,5196,12,0,1341,0
1967,pages_23_24.json,16,SCRANTON,216,216,64,0,0,152,0,1,2047,2047,1027,0,0,1020,0
1967,pages_23_24.json,17,OUTSIDE CENTRAL CITY,301,301,249,2,0,50,0,5,4502,4502,4169,12,0,321,0
1967,pages_23_24.json,18,"SEATTLE-EVERETT, WASH.",27412,27330,12259,444,639,13988,82,851,390886,389642,229502,4736,7250,148154,1244
1967,pages_23_24.json,19,INSIDE CENTRAL CITIES,4645,4613,735,132,189,3557,32,241,59031,58435,15059,1630,2437,39309,596
1967,pages_23_24.json,20,EVERETT,697,697,137,60,12,488,0,26,7649,7649,2401,662,99,4487,0
1967,pages_23_24.json,21,SEATTLE,3948,3916,598,72,177,3069,32,215,51382,50786,12658,968,2338,34823,596
1967,pages_23_24.json,22,OUTSIDE CENTRAL CITIES,22767,22717,11524,312,450,10431,50,610,331855,331207,214443,3106,4813,108844,648
1967,pages_23_24.json,23,"SHERMAN-DENISON, TEX.",789,779,490,56,4,229,10,5,8352,8245,6593,392,30,1230,107
1967,pages_23_24.json,24,INSIDE CENTRAL CITIES,683,683,404,46,4,229,0,5,7214,7214,5625,329,30,1230,0
1967,pages_23_24.json,25,DENISON,148,148,148,0,0,0,0,0,1766,1766,1766,0,0,0,0
1967,pages_23_24.json,26,SHERMAN,535,535,256,46,4,229,0,5,5448,5448,3859,329,30,1230,0
1967,pages_23_24.json,27,OUTSIDE CENTRAL CITIES,106,96,86,10,0,0,10,0,1139,1031,968,63,0,0,107
1967,pages_23_24.json,28,"SHREVEPORT, LA.",1545,1545,1029,6,0,510,0,6,20806,20806,16289,79,0,4438,0
1967,pages_23_24.json,29,SHREVEPORT,912,912,518,6,0,388,0,5,11581,11581,8064,79,0,3438,0
1967,pages_23_24.json,30,OUTSIDE CENTRAL CITY,633,633,511,0,0,122,0,1,9225,9225,8225,0,0,1000,0
1967,pages_23_24.json,31,"SIOUX CITY, IOWA-NEBR.",551,551,317,2,11,221,0,11,7113,7113,5454,17,219,1422,0
1967,pages_23_24.json,32,SIOUX CITY,430,430,248,2,11,169,0,10,5900,5900,4392,17,219,1272,0
1967,pages_23_24.json,33,OUTSIDE CENTRAL CITY,121,121,69,0,0,52,0,1,1212,1212,1062,0,0,150,0
1967,pages_23_24.json,34,"SIOUX FALLS, S.DAK.",366,366,157,12,3,194,0,9,4079,4079,2375,106,30,1568,0
1967,pages_23_24.json,35,SIOUX FALLS,359,359,153,12,3,194,0,9,3986,3986,2312,106,30,1568,0
1967,pages_23_24.json,36,OUTSIDE CENTRAL CITY,7,7,4,0,0,0,0,0,93,93,63,0,0,0,0
1967,pages_23_24.json,37,"SOUTH BEND, IND.",1065,1065,739,2,11,313,0,23,16192,16192,14199,25,84,1884,0
1967,pages_23_24.json,38,SOUTH BEND,282,282,110,0,3,169,0,5,2973,2973,2074,0,24,875,0
1967,pages_23_24.json,39,OUTSIDE CENTRAL CITY,783,783,629,2,8,144,0,18,13219,13219,12125,25,60,1009,0
1967,pages_23_24.json,40,"SPOKANE, WASH.",1452,1452,924,122,36,370,0,20,23016,23016,19044,1635,400,1937,0
1967,pages_23_24.json,41,SPOKANE,506,506,286,34,20,166,0,13,7298,7298,5347,478,192,1281,0
1967,pages_23_24.json,42,OUTSIDE CENTRAL CITY,946,946,638,88,16,204,0,7,15718,15718,13697,1158,208,656,0
1967,pages_23_24.json,43,"SPRINGFIELD, ILL.",950,750,456,10,40,244,200,6,14875,12208,8660,130,361,3057,2667
1967,pages_23_24.json,44,SPRINGFIELD,908,708,418,10,36,244,200,6,14194,11527,8018,130,322,3057,2667
1967,pages_23_24.json,45,OUTSIDE CENTRAL CITY,42,42,38,0,4,0,0,0,681,681,642,0,40,0,0
1967,pages_23_24.json,46,"SPRINGFIELD, MO.",1274,1274,975,24,17,258,0,7,14490,14490,12292,215,96,1888,0
1967,pages_23_24.json,47,SPRINGFIELD,766,766,471,20,17,258,0,7,7494,7494,5331,180,96,1888,0
1967,pages_23_24.json,48,OUTSIDE CENTRAL CITY,508,508,504,4,0,0,0,0,6996,6996,6961,35,0,0,0
1967,pages_23_24.json,49,"SPRINGFIELD, OHIO",1623,1473,1033,10,12,418,150,14,15524,15678,12726,88,123,2741,1848
1967,pages_23_24.json,50,SPRINGFIELD,718,568,170,0,12,386,150,10,7354,5506,2812,0,123,2571,1848
1967,pages_23_24.json,51,OUTSIDE CENTRAL CITY,905,905,863,10,0,32,0,4,10172,10172,9914,88,0,170,0
1967,pages_23_24.json,52,"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS.-CONN.",2579,2379,1463,100,12,804,200,30,33259,30312,23914,688,71,5639,2947
1967,pages_23_24.json,53,INSIDE CENTRAL CITIES,808,608,311,90,0,207,200,10,9002,6055,3873,610,0,1572,2947
1967,pages_23_24.json,54,CHICOPEE,154,154,120,2,0,32,0,4,1741,1741,1445,16,0,280,0
1967,pages_23_24.json,55,HOLYOKE,206,206,81,0,0,125,0,4,2073,2073,1198,0,0,875,0
1967,pages_23_24.json,56,SPRINGFIELD,448,248,110,88,0,50,200,2,5188,2241,1229,595,0,417,2947
1967,pages_23_24.json,57,OUTSIDE CENTRAL CITIES,1771,1771,1152,10,12,597,0,20,24257,24257,20041,78,71,4067,0
1967,pages_25_26.json,1,"STAMFORD, CONN.",1466,1466,759,72,32,603,0,17,33487,33487,24352,1033,338,7763,0
1967,pages_25_26.json,2,STAMFORD.,993,993,323,42,25,603,0,17,17654,17654,9056,577,258,7763,0
1967,pages_25_26.json,3,OUTSIDE CENTRAL CITY.,473,473,436,30,7,0,0,0,15833,15833,15296,457,80,0,0
1967,pages_25_26.json,4,"STEUBENVILLE-WEIRTON, OHIO-W.VA.",287,287,247,2,16,22,0,3,4545,4545,4217,18,130,180,0
1967,pages_25_26.json,5,INSIDE CENTRAL CITIES,124,124,102,0,16,6,0,1,2152,2152,1962,0,130,60,0
1967,pages_25_26.json,6,STEUBENVILLE.,48,48,48,0,0,0,0,0,1064,1064,1064,0,0,0,0
1967,pages_25_26.json,7,WEIRTON,76,76,54,0,16,6,0,1,1088,1088,898,0,130,60,0
1967,pages_25_26.json,8,OUTSIDE CENTRAL CITIES.,163,163,145,2,0,16,0,2,2393,2393,2255,18,0,120,0
1967,pages_25_26.json,9,"STOCKTON, CALIF.",2048,2048,1180,122,206,540,0,22,28122,28122,20374,1310,2157,4281,0
1967,pages_25_26.json,10,STOCKTON.,1135,1135,433,74,144,484,0,16,15160,15160,8717,882,1636,3924,0
1967,pages_25_26.json,11,OUTSIDE CENTRAL CITY.,913,913,747,48,62,56,0,6,12962,12962,11657,428,521,357,0
1967,pages_25_26.json,12,"SYRACUSE, N.Y.",4492,4492,1619,54,23,2796,0,235,47598,47598,27191,521,298,19589,0
1967,pages_25_26.json,13,SYRACUSE.,736,736,21,36,4,675,0,29,6203,6203,341,358,35,5469,0
1967,pages_25_26.json,14,OUTSIDE CENTRAL CITY.,3756,3756,1598,18,19,2121,0,206,41395,41395,26849,163,263,14120,0
1967,pages_25_26.json,15,"TACOMA, WASH.",5055,4978,2906,258,213,1601,77,89,58983,58012,43353,2118,1639,10902,970
1967,pages_25_26.json,16,TACOMA.,1246,1169,610,22,28,509,77,34,15738,14768,10427,215,257,3869,970
1967,pages_25_26.json,17,OUTSIDE CENTRAL CITY.,3809,3809,2296,236,185,1092,0,55,43245,43245,32926,1903,1383,7032,0
1967,pages_25_26.json,18,"TALLAHASSEE, FLA.",1697,1697,651,12,98,936,0,57,17987,17987,10924,66,540,6458,0
1967,pages_25_26.json,19,TALLAHASSEE,946,946,238,12,98,598,0,19,8475,8475,3952,66,540,3918,0
1967,pages_25_26.json,20,OUTSIDE CENTRAL CITY.,751,751,413,0,0,338,0,38,9512,9512,6972,0,0,2540,0
1967,pages_25_26.json,21,"TAMPA-ST. PETERSBURG, FLA.",10686,10686,5625,483,193,4385,0,152,113919,113919,77421,2854,1465,32180,0
1967,pages_25_26.json,22,INSIDE CENTRAL CITIES,4059,4059,1662,28,25,2344,0,53,40650,40650,21770,223,173,18484,0
1967,pages_25_26.json,23,ST. PETERSBURG.,2268,2268,986,4,14,1264,0,35,22806,22806,12921,26,101,9759,0
1967,pages_25_26.json,24,TAMPA,1791,1791,676,24,11,1080,0,18,17844,17844,8849,197,73,8725,0
1967,pages_25_26.json,25,OUTSIDE CENTRAL CITIES.,6627,6627,3963,455,168,2041,0,99,73269,73269,55650,2631,1292,13696,0
1967,pages_25_26.json,26,"TERRE HAUTE, IND.",219,139,55,10,55,19,80,3,3957,2217,1436,196,157,429,1740
1967,pages_25_26.json,27,TERRE HAUTE,197,117,37,6,55,19,80,3,3181,1441,691,164,157,429,1740
1967,pages_25_26.json,28,OUTSIDE CENTRAL CITY.,22,22,18,4,0,0,0,0,776,776,744,32,0,0,0
1967,pages_25_26.json,29,"TEXARKANA, TEX.-ARK.",388,388,305,2,18,63,0,3,3772,3772,3302,10,110,350,0
1967,pages_25_26.json,30,INSIDE CENTRAL CITIES,321,321,238,2,18,63,0,3,2970,2970,2500,10,110,350,0
1967,pages_25_26.json,31,"TEXARKANA, TEX.",148,148,114,0,14,20,0,1,1366,1366,1186,0,80,100,0
1967,pages_25_26.json,32,"TEXARKANA, ARK.",173,173,124,2,4,43,0,2,1604,1604,1314,10,30,250,0
1967,pages_25_26.json,33,OUTSIDE CENTRAL CITIES.,67,67,67,0,0,0,0,0,802,802,802,0,0,0,0
1967,pages_25_26.json,34,"TOLEDO, OHIO-MICH.",3728,3728,1989,264,112,1363,0,67,47753,47753,36307,2352,1285,7809,0
1967,pages_25_26.json,35,TOLEDO.,2039,2039,733,184,31,1091,0,43,18075,18075,10686,1634,202,5553,0
1967,pages_25_26.json,36,OUTSIDE CENTRAL CITY.,1689,1689,1256,80,81,272,0,24,29677,29677,25620,718,1083,2256,0
1967,pages_25_26.json,37,"TOPEKA, KANS.",961,961,403,16,3,539,0,41,12482,12482,7192,199,20,5071,0
1967,pages_25_26.json,38,TOPEKA.,860,860,302,16,3,539,0,41,10581,10581,5291,199,20,5071,0
1967,pages_25_26.json,39,OUTSIDE CENTRAL CITY.,101,101,101,0,0,0,0,0,1901,1901,1901,0,0,0,0
1967,pages_25_26.json,40,"TRENTON, N.J.",1428,1428,872,40,0,516,0,19,21352,21352,17245,421,0,3687,0
1967,pages_25_26.json,41,TRENTON,103,103,2,2,0,99,0,1,1055,1055,25,30,0,1000,0
1967,pages_25_26.json,42,OUTSIDE CENTRAL CITY.,1325,1325,870,38,0,417,0,18,20296,20296,17219,391,0,2687,0
1967,pages_25_26.json,43,"TUCSON, ARIZ.",1584,1584,1307,38,57,182,0,13,27467,27467,24860,378,491,1738,0
1967,pages_25_26.json,44,TUCSON.,633,633,408,30,45,150,0,10,7771,7771,5574,282,326,1588,0
1967,pages_25_26.json,45,OUTSIDE CENTRAL CITY.,951,951,899,8,12,32,0,3,19695,19695,19285,95,165,150,0
1967,pages_25_26.json,46,"TULSA, OKLA.",4395,4395,2287,158,297,1653,0,176,47068,47068,31761,1778,1860,11669,0
1967,pages_25_26.json,47,TULSA,3968,3968,1947,140,239,1642,0,175,42775,42775,27936,1648,1582,11609,0
1967,pages_25_26.json,48,OUTSIDE CENTRAL CITY.,427,427,340,18,58,11,0,1,4293,4293,3824,129,279,60,0
1967,pages_25_26.json,49,"TUSCALOOSA, ALA.",753,753,428,6,8,311,0,11,9340,9340,7221,50,25,2044,0
1967,pages_25_26.json,50,TUSCALOOSA.,640,640,315,6,8,311,0,11,7623,7623,5504,50,25,2044,0
1967,pages_25_26.json,51,OUTSIDE CENTRAL CITY.,113,113,113,0,0,0,0,0,1717,1717,1717,0,0,0,0
1967,pages_25_26.json,52,"TYLER, TEX.",280,280,207,2,32,39,0,1,4723,4723,3895,4,425,400,0
1967,pages_25_26.json,53,TYLER,233,233,192,2,0,39,0,1,4140,4140,3736,4,0,400,0
1967,pages_25_26.json,54,OUTSIDE CENTRAL CITY.,47,47,15,0,32,0,0,0,583,583,158,0,425,0,0
1967,pages_27_28.json,1,"UTICA-ROME, N.Y.",464,464,424,4,3,33,0,3,7837,7837,6384,37,16,1400,0
1967,pages_27_28.json,2,INSIDE CENTRAL CITIES,134,134,132,2,0,0,0,0,1451,1451,1439,12,0,0,0
1967,pages_27_28.json,3,ROME,50,50,48,2,0,0,0,0,619,619,607,12,0,0,0
1967,pages_27_28.json,4,UTICA,84,84,84,0,0,0,0,0,832,832,832,0,0,0,0
1967,pages_27_28.json,5,OUTSIDE CENTRAL CITIES,330,330,292,2,3,33,0,3,6386,6386,4945,25,16,1400,0
1967,pages_27_28.json,6,"VALLEJO-NAPA, CALIF.",2507,2507,1440,98,377,592,0,68,35337,35337,26411,1012,2986,4928,0
1967,pages_27_28.json,7,INSIDE CENTRAL CITIES,762,762,394,64,122,182,0,18,9741,9741,6846,683,987,1225,0
1967,pages_27_28.json,8,NAPA,376,376,241,36,43,56,0,6,5450,5450,4400,444,317,289,0
1967,pages_27_28.json,9,VALLEJO,386,386,153,28,79,126,0,12,4291,4291,2447,239,670,936,0
1967,pages_27_28.json,10,OUTSIDE CENTRAL CITIES,1745,1745,1046,34,255,410,0,50,25596,25596,19564,329,1999,3703,0
1967,pages_27_28.json,11,"WACO, TEX.",447,297,248,20,29,0,150,0,6777,5053,4656,197,200,0,1724
1967,pages_27_28.json,12,WACO,349,199,150,20,29,0,150,0,5055,3330,2933,197,200,0,1724
1967,pages_27_28.json,13,OUTSIDE CENTRAL CITY,98,98,98,0,0,0,0,0,1722,1722,1722,0,0,0,0
1967,pages_27_28.json,14,"WASHINGTON, D.C.-MD.-VA.",26020,25945,14052,34,21,11838,75,277,327514,326524,225275,468,101,100681,990
1967,pages_27_28.json,15,"WASHINGTON, D.C.",1995,1995,232,0,0,1763,0,48,17470,17470,3715,0,0,13755,0
1967,pages_27_28.json,16,OUTSIDE CENTRAL CITY,24025,23950,13820,34,21,10075,75,229,310044,309055,221560,468,101,86926,990
1967,pages_27_28.json,17,"WATERBURY, CONN.",1217,1217,840,26,93,258,0,13,15801,15801,13346,237,595,1624,0
1967,pages_27_28.json,18,WATERBURY,459,459,151,10,90,208,0,7,4037,4037,2127,92,570,1249,0
1967,pages_27_28.json,19,OUTSIDE CENTRAL CITY,758,758,689,16,3,50,0,6,11764,11764,11219,145,25,375,0
1967,pages_27_28.json,20,"WATERLOO, IOWA",740,740,537,54,3,146,0,16,9074,9074,7427,530,8,1109,0
1967,pages_27_28.json,21,WATERLOO,462,462,330,22,3,107,0,12,4985,4985,4059,185,8,734,0
1967,pages_27_28.json,22,OUTSIDE CENTRAL CITY,278,278,207,32,0,39,0,4,4088,4088,3368,345,0,375,0
1967,pages_27_28.json,23,"WEST PALM BEACH, FLA.",4839,4839,1796,262,197,2584,0,129,63322,63322,33403,1705,1553,26661,0
1967,pages_27_28.json,24,WEST PALM BEACH,281,281,116,20,23,122,0,5,3362,3362,1869,153,148,1193,0
1967,pages_27_28.json,25,OUTSIDE CENTRAL CITY,4558,4558,1680,242,174,2462,0,124,59960,59960,31534,1552,1405,25469,0
1967,pages_27_28.json,26,"WHEELING, W.VA.-OHIO",186,186,152,0,18,16,0,3,3352,3352,2792,0,430,130,0
1967,pages_27_28.json,27,WHEELING,61,61,33,0,12,16,0,3,956,956,676,0,150,130,0
1967,pages_27_28.json,28,OUTSIDE CENTRAL CITY,125,125,119,0,6,0,0,0,2396,2396,2116,0,280,0,0
1967,pages_27_28.json,29,"WICHITA, KANS.",1910,1910,1163,70,12,665,0,36,30153,30153,23155,902,120,5977,0
1967,pages_27_28.json,30,WICHITA,1533,1533,846,54,8,625,0,34,24580,24580,18129,748,100,5604,0
1967,pages_27_28.json,31,OUTSIDE CENTRAL CITY,377,377,317,16,4,40,0,2,5574,5574,5026,155,20,373,0
1967,pages_27_28.json,32,"WICHITA FALLS, TEX.",413,413,249,2,21,141,0,3,5295,5295,3818,115,190,1172,0
1967,pages_27_28.json,33,WICHITA FALLS,348,348,197,2,21,128,0,2,4700,4700,3323,115,190,1072,0
1967,pages_27_28.json,34,OUTSIDE CENTRAL CITY,65,65,52,0,0,13,0,1,595,595,495,0,0,100,0
1967,pages_27_28.json,35,"WILKES-BARRE-HAZLETON, PA.",826,826,782,0,3,41,0,2,11841,11841,11626,0,25,191,0
1967,pages_27_28.json,36,INSIDE CENTRAL CITIES,91,91,73,0,0,18,0,1,1214,1214,1108,0,0,106,0
1967,pages_27_28.json,37,HAZLETON,59,59,41,0,0,18,0,1,709,709,604,0,0,106,0
1967,pages_27_28.json,38,WILKES-BARRE,32,32,32,0,0,0,0,0,504,504,504,0,0,0,0
1967,pages_27_28.json,39,OUTSIDE CENTRAL CITIES,735,735,709,0,3,23,0,1,10628,10628,10518,0,25,85,0
1967,pages_27_28.json,40,"WILMINGTON, DEL.-N.J.-MD.",4795,4795,2442,0,4,2349,0,124,49102,49102,35502,0,8,13593,0
1967,pages_27_28.json,41,WILMINGTON,438,438,32,0,0,406,0,11,3713,3713,232,0,0,3481,0
1967,pages_27_28.json,42,OUTSIDE CENTRAL CITY,4357,4357,2410,0,4,1943,0,113,45389,45389,35270,0,8,10112,0
1967,pages_27_28.json,43,"WILMINGTON, N.C.",1245,1245,773,12,43,417,0,49,14262,14262,10880,101,382,2900,0
1967,pages_27_28.json,44,WILMINGTON,622,622,189,0,43,390,0,47,6853,6853,3609,0,382,2862,0
1967,pages_27_28.json,45,OUTSIDE CENTRAL CITY,623,623,584,12,0,27,0,2,7409,7409,7271,101,0,38,0
1967,pages_27_28.json,46,"WORCESTER, MASS.",1392,1193,850,22,4,317,199,30,17893,15345,12428,234,26,2658,2547
1967,pages_27_28.json,47,WORCESTER,633,434,137,4,0,293,199,28,6751,4204,1716,40,0,2448,2547
1967,pages_27_28.json,48,OUTSIDE CENTRAL CITY,759,759,713,18,4,24,0,2,11142,11142,10713,194,26,210,0
1967,pages_27_28.json,49,"YORK, PA.",1336,1336,919,10,27,380,0,21,17759,17759,15346,135,256,2022,0
1967,pages_27_28.json,50,YORK,15,15,1,0,0,14,0,1,91,91,31,0,0,60,0
1967,pages_27_28.json,51,OUTSIDE CENTRAL CITY,1321,1321,918,10,27,366,0,20,17668,17668,15315,135,256,1962,0
1967,pages_27_28.json,52,"YOUNGSTOWN-WARREN, OHIO",2415,2065,1353,38,89,585,350,25,37248,31907,25282,365,738,5522,5342
1967,pages_27_28.json,53,INSIDE CENTRAL CITIES,773,423,116,0,6,301,350,2,10233,4891,1934,0,54,2904,5342
1967,pages_27_28.json,54,WARREN,563,213,61,0,0,152,350,1,7963,2622,1018,0,0,1604,5342
1967,pages_27_28.json,55,YOUNGSTOWN,210,210,55,0,6,149,0,1,2269,2269,915,0,54,1300,0
1967,pages_27_28.json,56,OUTSIDE CENTRAL CITIES,1642,1642,1237,38,83,284,0,23,27016,27016,23349,365,684,2618,0
1968,pages_01_02.json,4,"ABILENE, TEX.",92,92,84,0,0,8,0,1,1858,1858,1816,0,0,41,0
1968,pages_01_02.json,5,ABILENE,66,66,58,0,0,8,0,1,1461,1461,1419,0,0,41,0
1968,pages_01_02.json,6,OUTSIDE CENTRAL CITY,26,26,26,0,0,0,0,0,397,397,397,0,0,0,0
1968,pages_01_02.json,7,"AKRON, OHIO",5259,5259,2417,352,80,2410,0,72,85106,85106,55673,4398,784,24251,0
1968,pages_01_02.json,8,AKRON,2019,2019,413,28,8,1570,0,45,24060,24060,7576,262,80,16142,0
1968,pages_01_02.json,9,OUTSIDE CENTRAL CITY,3240,3240,2004,324,72,840,0,27,61046,61046,48097,4135,704,8110,0
1968,pages_01_02.json,10,"ALBANY, GA.",893,893,581,126,78,108,0,13,10285,10285,8380,502,648,755,0
1968,pages_01_02.json,11,ALBANY,472,472,259,38,78,97,0,11,5659,5659,4056,275,648,680,0
1968,pages_01_02.json,12,OUTSIDE CENTRAL CITY,421,421,322,88,0,11,0,2,4626,4626,4324,227,0,75,0
1968,pages_01_02.json,13,"ALBANY-SCHENECTADY-TROY, N.Y.",3794,3794,2119,218,80,1377,0,70,56151,56151,40666,2595,696,12194,0
1968,pages_01_02.json,14,INSIDE CENTRAL CITIES,583,583,144,36,0,403,0,12,6561,6561,2049,407,0,4105,0
1968,pages_01_02.json,15,ALBANY,130,130,53,32,0,45,0,3,1651,1651,960,362,0,330,0
1968,pages_01_02.json,16,SCHENECTADY,334,334,38,2,0,294,0,8,3852,3852,427,25,0,3400,0
1968,pages_01_02.json,17,TROY,119,119,53,2,0,64,0,1,1057,1057,662,20,0,375,0
1968,pages_01_02.json,18,OUTSIDE CENTRAL CITIES,3211,3211,1975,182,80,974,0,58,49591,49591,38617,2188,696,8089,0
1968,pages_01_02.json,19,"ALBUQUERQUE, N.MEX.",2249,2249,1155,0,41,1053,0,20,25606,25606,16869,0,461,8276,0
1968,pages_01_02.json,20,ALBUQUERQUE,2240,2240,1154,0,33,1053,0,20,25539,25539,16847,0,416,8276,0
1968,pages_01_02.json,21,OUTSIDE CENTRAL CITY,9,9,1,0,8,0,0,0,67,67,22,0,45,0,0
1968,pages_01_02.json,22,"ALLENTOWN-BETHLEHEM-EASTON, PA.-N.J.",2854,2854,1806,6,20,1022,0,85,42603,42603,34532,53,407,7611,0
1968,pages_01_02.json,23,INSIDE CENTRAL CITIES,678,678,176,0,20,482,0,28,6408,6408,3289,0,407,2712,0
1968,pages_01_02.json,24,ALLENTOWN,366,366,89,0,4,273,0,15,2926,2926,1538,0,47,1341,0
1968,pages_01_02.json,25,BETHLEHEM,196,196,82,0,16,98,0,10,2846,2846,1670,0,360,816,0
1968,pages_01_02.json,26,EASTON,116,116,5,0,0,111,0,3,636,636,81,0,0,555,0
1968,pages_01_02.json,27,OUTSIDE CENTRAL CITIES,2176,2176,1630,6,0,540,0,57,36196,36196,31244,53,0,4899,0
1968,pages_01_02.json,28,"ALTOONA, PA.",205,205,151,10,8,36,0,2,2652,2652,2204,65,57,325,0
1968,pages_01_02.json,29,ALTOONA,94,94,54,0,4,36,0,2,1171,1171,810,0,36,325,0
1968,pages_01_02.json,30,OUTSIDE CENTRAL CITY,111,111,97,10,4,0,0,0,1481,1481,1395,65,21,0,0
1968,pages_01_02.json,31,"AMARILLO, TEX.",574,574,293,0,0,281,0,6,9714,9714,7534,0,0,2180,0
1968,pages_01_02.json,32,AMARILLO,523,523,254,0,0,269,0,5,8872,8872,6757,0,0,2115,0
1968,pages_01_02.json,33,OUTSIDE CENTRAL CITY,51,51,39,0,0,12,0,1,842,842,777,0,0,65,0
1968,pages_01_02.json,34,"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF.",23308,23308,13136,292,1743,8137,0,562,420411,420411,317485,4200,20513,78212,0
1968,pages_01_02.json,35,INSIDE CENTRAL CITIES,4877,4877,1632,12,606,2627,0,138,64292,64292,32973,129,6903,24287,0
1968,pages_01_02.json,36,ANAHEIM,2427,2427,837,4,380,1206,0,33,32113,32113,16677,21,4354,11062,0
1968,pages_01_02.json,37,GARDEN GROVE,1021,1021,16,2,23,980,0,41,9768,9768,415,25,274,9054,0
1968,pages_01_02.json,38,SANTA ANA,1429,1429,779,6,203,441,0,64,22411,22411,15881,83,2276,4171,0
1968,pages_01_02.json,39,OUTSIDE CENTRAL CITIES,18431,18431,11504,280,1137,5510,0,424,356119,356119,284512,4071,13610,53925,0
1968,pages_01_02.json,40,"ANDERSON, IND.",627,627,493,30,14,90,0,2,9284,9284,8585,266,73,360,0
1968,pages_01_02.json,41,ANDERSON,307,307,181,28,8,90,0,2,3402,3402,2770,248,24,360,0
1968,pages_01_02.json,42,OUTSIDE CENTRAL CITY,320,320,312,2,6,0,0,0,5882,5882,5815,18,49,0,0
1968,pages_01_02.json,43,"ANN ARBOR, MICH.",2529,2529,1194,2,12,1321,0,148,41051,41051,27359,20,186,13486,0
1968,pages_01_02.json,44,ANN ARBOR,1266,1266,368,0,0,898,0,120,20693,20693,10448,0,0,10246,0
1968,pages_01_02.json,45,OUTSIDE CENTRAL CITY,1263,1263,826,2,12,423,0,28,20358,20358,16911,20,186,3240,0
1968,pages_01_02.json,46,"ASHEVILLE, N.C.",357,357,189,2,8,158,0,1,4325,4325,2939,10,76,1300,0
1968,pages_01_02.json,47,ASHEVILLE,332,332,164,2,8,158,0,1,3754,3754,2368,10,76,1300,0
1968,pages_01_02.json,48,OUTSIDE CENTRAL CITY,25,25,25,0,0,0,0,0,571,571,571,0,0,0,0
1968,pages_01_02.json,49,"ATLANTA, GA.",24376,23938,10102,258,373,13205,438,891,284062,276970,160486,1977,3098,111409,7091
1968,pages_01_02.json,50,ATLANTA,5638,5288,534,4,0,4750,350,115,59185,53598,8782,27,0,44789,5587
1968,pages_01_02.json,51,OUTSIDE CENTRAL CITY,18738,18650,9568,254,373,8455,88,776,224877,223373,151704,1950,3098,66621,1504
1968,pages_01_02.json,52,"ATLANTIC CITY, N.J.",1137,1137,728,162,0,247,0,6,12758,12758,10377,1211,0,1170,0
1968,pages_01_02.json,53,ATLANTIC CITY,215,215,8,0,0,207,0,2,1006,1006,76,0,0,930,0
1968,pages_01_02.json,54,OUTSIDE CENTRAL CITY,922,922,720,162,0,40,0,3,11752,11752,10301,1211,0,240,0
1968,pages_01_02.json,55,"AUGUSTA, GA.-S.C.",2463,2463,1647,12,42,762,0,62,24924,24924,20408,138,263,4116,0
1968,pages_01_02.json,56,AUGUSTA,287,287,37,4,34,212,0,22,1556,1556,430,46,198,882,0
1968,pages_01_02.json,57,OUTSIDE CENTRAL CITY,2176,2176,1610,8,8,550,0,40,23368,23368,19978,92,65,3234,0
1968,pages_01_02.json,58,"AUSTIN, TEX.",6125,6125,1769,438,327,3591,0,85,81071,81071,39863,6052,3196,31960,0
1968,pages_01_02.json,59,AUSTIN,6100,6100,1748,434,327,3591,0,85,80399,80399,39243,6000,3196,31960,0
